Date,Open,Close
2018-10-18,41.04,40.8
2018-10-19,40.87,40.16
2018-10-22,40.35,38.86
2018-10-23,39.4,40.19
2018-10-24,40.26,40.03
2018-10-25,40.03,41.67
2018-10-26,40.95,41.38
2018-10-29,41.67,40.37
2018-10-30,38.59,39.8
2018-10-31,40.21,40.83
2018-11-01,40.83,40.83
2018-11-02,37.51,37.74
2018-11-05,37.84,37.68
2018-11-06,37.63,38.92
2018-11-07,39.16,39.04
2018-11-08,38.97,39.0
2018-11-09,38.97,37.67
2018-11-12,37.57,34.7
2018-11-13,35.04,33.87
2018-11-14,33.87,33.0
2018-11-15,32.89,34.09
2018-11-16,33.84,34.49
2018-11-19,34.28,34.03
2018-11-20,33.47,33.42
2018-11-21,33.8,34.35
2018-11-23,34.14,34.34
2018-11-26,34.74,35.74
2018-11-27,35.39,35.36
2018-11-28,35.51,36.88
2018-11-29,36.33,35.75
2018-11-30,35.79,36.44
2018-12-03,36.45,36.4
2018-12-04,36.43,35.11
2018-12-06,34.55,34.77
2018-12-07,34.69,34.01
2018-12-10,34.13,34.28
2018-12-11,34.57,34.47
2018-12-12,35.04,35.5
2018-12-13,32.37,33.77
2018-12-14,33.22,32.82
2018-12-17,32.54,32.95
2018-12-18,33.11,31.82
2018-12-19,31.31,29.89
2018-12-20,29.7,29.76
2018-12-21,29.95,28.45
2018-12-24,28.02,27.94
2018-12-26,28.16,29.5
2018-12-27,29.05,28.92
2018-12-28,28.9,28.49
2018-12-31,28.7,29.51
2019-01-02,28.92,29.11
2019-01-03,29.11,28.4
2019-01-04,28.94,30.0
2019-01-07,30.26,30.6
2019-01-08,30.93,31.23
2019-01-09,31.58,32.21
2019-01-10,31.86,32.48
2019-01-11,32.29,32.51
2019-01-14,32.2,32.26
2019-01-15,32.25,33.04
2019-01-16,33.08,33.58
2019-01-17,33.51,33.82
2019-01-18,33.88,34.14
2019-01-22,33.85,33.05
2019-01-23,33.11,32.44
2019-01-24,32.44,33.08
2019-01-25,33.24,34.07
2019-01-28,33.82,32.55
2019-01-29,32.55,32.66
2019-01-30,32.66,32.8
2019-01-31,32.82,32.87
2019-02-01,32.73,33.08
2019-02-04,31.89,33.18
2019-02-05,33.23,33.71
2019-02-06,33.66,32.49
2019-02-07,32.37,31.07
2019-02-08,30.93,30.85
2019-02-11,31.04,31.38
2019-02-12,31.51,32.29
2019-02-13,32.32,32.92
2019-02-14,33.27,32.5
2019-02-15,32.9,32.54
2019-02-19,32.37,34.09
2019-02-20,34.01,33.35
2019-02-21,33.09,32.57
2019-02-22,32.11,33.43
2019-02-25,33.03,34.26
2019-02-26,34.07,33.92
2019-02-27,33.91,34.21
2019-02-28,33.99,33.27
2019-03-01,33.48,34.44
2019-03-04,34.54,33.85
2019-03-05,33.73,33.36
2019-03-06,33.34,32.47
2019-03-07,32.46,32.63
2019-03-08,32.35,31.93
2019-03-11,31.92,33.16
2019-03-12,33.31,33.16
2019-03-13,33.45,33.53
