Date,Open,Close
2018-10-18,1.56,1.54
2018-10-19,1.55,1.54
2018-10-22,1.54,1.46
2018-10-23,1.45,1.47
2018-10-24,1.47,1.43
2018-10-25,1.45,1.43
2018-10-26,1.43,1.42
2018-10-29,1.44,1.4
2018-10-30,1.39,1.43
2018-10-31,1.45,1.46
2018-11-01,1.47,1.5
2018-11-02,1.51,1.49
2018-11-05,1.51,1.49
2018-11-06,1.51,1.57
2018-11-07,1.59,1.57
2018-11-08,1.55,1.53
2018-11-09,1.5,1.53
2018-11-12,1.53,1.5
2018-11-13,1.49,1.5
2018-11-14,1.5,1.53
2018-11-15,1.474,1.5
2018-11-16,1.5,1.51
2018-11-19,1.53,1.51
2018-11-20,1.51,1.47
2018-11-21,1.47,1.51
2018-11-23,1.51,1.47
2018-11-26,1.48,1.46
2018-11-27,1.43,1.46
2018-11-28,1.45,1.48
2018-11-29,1.48,1.54
2018-11-30,1.54,1.5
2018-12-03,1.52,1.53
2018-12-04,1.52,1.52
2018-12-06,1.49,1.5
2018-12-07,1.51,1.51
2018-12-10,1.51,1.48
2018-12-11,1.48,1.51
2018-12-12,1.51,1.53
2018-12-13,1.53,1.52
2018-12-14,1.54,1.5
2018-12-17,1.5,1.505
2018-12-18,1.51,1.47
2018-12-19,1.46,1.48
2018-12-20,1.47,1.46
2018-12-21,1.45,1.45
2018-12-24,1.46,1.38
2018-12-26,1.4,1.41
2018-12-27,1.4,1.45
2018-12-28,1.43,1.45
2018-12-31,1.49,1.44
2019-01-02,1.44,1.55
2019-01-03,1.53,1.55
2019-01-04,1.57,1.62
2019-01-07,1.64,1.71
2019-01-08,1.72,1.73
2019-01-09,1.74,1.73
2019-01-10,1.72,1.72
2019-01-11,1.71,1.75
2019-01-14,1.76,1.75
2019-01-15,1.76,1.85
2019-01-16,1.85,1.89
2019-01-17,1.94,1.94
2019-01-18,1.95,1.98
2019-01-22,1.97,1.99
2019-01-23,2.0,2.03
2019-01-24,2.05,2.04
2019-01-25,2.04,2.05
2019-01-28,2.06,2.02
2019-01-29,2.03,1.92
2019-01-30,1.92,1.94
2019-01-31,1.94,1.85
2019-02-01,1.85,1.79
2019-02-04,1.78,1.82
2019-02-05,1.81,1.8
2019-02-06,1.8,1.83
2019-02-07,1.83,1.81
2019-02-08,1.81,1.77
2019-02-11,1.78,1.76
2019-02-12,1.75,1.82
2019-02-13,1.84,1.88
2019-02-14,1.86,1.85
2019-02-15,1.85,1.87
2019-02-19,1.83,1.77
2019-02-20,1.75,1.73
2019-02-21,1.74,1.78
2019-02-22,1.77,1.79
2019-02-25,1.81,1.84
2019-02-26,1.85,1.8
2019-02-27,1.78,1.79
2019-02-28,1.78,1.77
2019-03-01,1.76,1.73
2019-03-04,1.74,1.75
2019-03-05,1.74,1.71
2019-03-06,1.7,1.7
2019-03-07,1.9,1.75
2019-03-08,1.72,1.71
2019-03-11,1.72,1.75
2019-03-12,1.75,1.77
2019-03-13,1.77,1.81
