Date,Open,Close
2018-10-18,15.326,14.889
2018-10-19,15.105,13.939
2018-10-22,13.943,12.03
2018-10-23,10.555,12.144
2018-10-24,12.52,11.27
2018-10-25,10.842,12.39
2018-10-26,11.915,11.79
2018-10-29,12.145,9.76
2018-10-30,9.5,10.13
2018-10-31,10.565,11.934
2018-11-01,12.21,11.57
2018-11-02,11.75,12.0
2018-11-05,12.2,12.25
2018-11-06,12.22,12.72
2018-11-07,13.24,13.22
2018-11-08,13.08,12.61
2018-11-09,12.36,12.31
2018-11-12,12.44,11.28
2018-11-13,11.25,10.3
2018-11-14,10.01,9.54
2018-11-15,9.55,10.29
2018-11-16,10.3,9.74
2018-11-19,9.61,9.05
2018-11-20,8.59,8.81
2018-11-21,8.9,8.83
2018-11-23,8.82,8.84
2018-11-26,9.2,8.08
2018-11-27,8.15,7.74
2018-11-28,7.9,8.49
2018-11-29,8.45,7.93
2018-11-30,8.0,7.9
2018-12-03,6.5,6.05
2018-12-04,4.93,4.51
2018-12-06,3.9,5.54
2018-12-07,6.25,5.23
2018-12-10,5.6,5.61
2018-12-11,5.78,6.14
2018-12-12,6.1,5.81
2018-12-13,5.71,5.23
2018-12-14,5.12,5.6
2018-12-17,5.48,5.43
2018-12-18,5.61,5.85
2018-12-19,5.91,5.4
2018-12-20,5.49,5.23
2018-12-21,5.34,4.85
2018-12-24,4.55,5.55
2018-12-26,5.69,5.82
2018-12-27,5.62,5.57
2018-12-28,6.33,6.26
2018-12-31,5.92,5.69
2019-01-02,5.64,6.01
2019-01-03,5.96,5.97
2019-01-04,6.15,6.04
2019-01-07,6.25,6.41
2019-01-08,6.57,6.33
2019-01-09,6.38,6.79
2019-01-10,6.69,6.58
2019-01-11,6.43,6.92
2019-01-14,7.03,7.05
2019-01-15,7.05,6.7
2019-01-16,6.75,6.65
2019-01-17,6.46,6.48
2019-01-18,6.55,6.68
2019-01-22,7.2,7.08
2019-01-23,6.92,6.92
2019-01-24,6.87,6.94
2019-01-25,7.09,7.16
2019-01-28,7.11,7.37
2019-01-29,7.43,7.27
2019-01-30,7.4,7.66
2019-01-31,7.76,8.74
2019-02-01,9.05,9.62
2019-02-04,10.1,10.84
2019-02-05,10.86,10.71
2019-02-06,10.02,9.7
2019-02-07,9.3,9.57
2019-02-08,9.71,9.43
2019-02-11,9.42,8.38
2019-02-12,8.19,9.05
2019-02-13,9.21,9.24
2019-02-14,9.1,9.09
2019-02-15,9.69,9.6
2019-02-19,9.5,9.71
2019-02-20,9.7,10.15
2019-02-21,10.27,10.38
2019-02-22,10.48,10.18
2019-02-25,10.09,9.69
2019-02-26,9.82,10.32
2019-02-27,10.26,10.19
2019-02-28,10.16,10.36
2019-03-01,10.41,10.14
2019-03-04,10.47,10.42
2019-03-05,10.34,10.37
2019-03-06,10.32,10.08
2019-03-07,10.05,9.61
2019-03-08,9.3,9.55
2019-03-11,9.56,9.76
2019-03-12,9.61,9.59
2019-03-13,9.7,9.6
