Date,Open,Close
2018-10-18,12.14,12.38
2018-10-19,12.28,12.56
2018-10-22,12.59,12.38
2018-10-23,12.15,12.69
2018-10-24,12.71,12.17
2018-10-25,12.2,11.8
2018-10-26,11.59,11.3
2018-10-29,11.429,11.16
2018-10-30,10.56,10.18
2018-10-31,10.18,10.1
2018-11-01,10.01,9.58
2018-11-02,9.62,9.29
2018-11-05,9.39,9.28
2018-11-06,9.36,9.42
2018-11-07,9.45,9.2
2018-11-08,9.14,9.1
2018-11-09,8.79,8.58
2018-11-12,8.42,7.99
2018-11-13,8.02,8.61
2018-11-14,8.76,8.32
2018-11-15,8.24,8.17
2018-11-16,8.08,8.02
2018-11-19,7.99,7.84
2018-11-20,7.67,7.65
2018-11-21,7.79,7.81
2018-11-23,7.78,7.57
2018-11-26,7.61,7.58
2018-11-27,7.49,7.44
2018-11-28,7.39,7.74
2018-11-29,7.65,7.94
2018-11-30,7.66,7.5
2018-12-03,7.54,7.81
2018-12-04,7.75,7.28
2018-12-06,7.2,7.35
2018-12-07,7.3,7.01
2018-12-10,6.97,6.93
2018-12-11,7.04,6.76
2018-12-12,6.84,6.71
2018-12-13,7.49,7.2
2018-12-14,7.08,7.1
2018-12-17,7.09,7.15
2018-12-18,7.18,7.28
2018-12-19,7.64,7.66
2018-12-20,7.65,7.44
2018-12-21,7.32,7.15
2018-12-24,7.06,6.92
2018-12-26,6.99,7.39
2018-12-27,7.18,7.27
2018-12-28,7.19,7.51
2018-12-31,7.52,7.57
2019-01-02,7.46,8.05
2019-01-03,8.02,8.06
2019-01-04,8.19,8.23
2019-01-07,8.545,8.74
2019-01-08,8.91,8.56
2019-01-09,8.52,8.5
2019-01-10,8.5,8.94
2019-01-11,8.87,8.94
2019-01-14,8.81,8.9
2019-01-15,8.91,8.73
2019-01-16,8.71,8.98
2019-01-17,8.9,9.14
2019-01-18,9.23,9.06
2019-01-22,8.979,8.66
2019-01-23,8.69,8.73
2019-01-24,8.63,8.78
2019-01-25,8.85,9.16
2019-01-28,8.98,8.93
2019-01-29,8.9,8.9
2019-01-30,8.98,9.1
2019-01-31,9.94,10.16
2019-02-01,10.2,10.19
2019-02-04,10.27,10.21
2019-02-05,10.25,10.63
2019-02-06,10.67,10.47
2019-02-07,10.42,10.06
2019-02-08,10.01,9.81
2019-02-11,9.87,10.03
2019-02-12,10.07,9.98
2019-02-13,9.98,10.37
2019-02-14,10.29,10.04
2019-02-15,10.12,10.09
2019-02-19,10.03,10.13
2019-02-20,10.09,10.1
2019-02-21,10.03,10.03
2019-02-22,10.05,10.17
2019-02-25,11.57,10.82
2019-02-26,10.785,10.66
2019-02-27,10.83,10.88
2019-02-28,10.82,10.39
2019-03-01,10.45,10.27
2019-03-04,10.32,10.38
2019-03-05,10.38,9.89
2019-03-06,9.26,9.11
2019-03-07,9.08,9.45
2019-03-08,9.33,9.58
2019-03-11,9.45,9.9
2019-03-12,9.93,9.76
2019-03-13,9.73,10.02
