Date,Open,Close
2018-11-02,81.76,81.95
2018-11-05,82.5,81.64
2018-11-06,81.74,81.99
2018-11-07,82.21,83.03
2018-11-08,83.13,81.71
2018-11-09,80.26,80.87
2018-11-12,81.66,79.83
2018-11-13,79.8,78.0
2018-11-14,78.86,77.39
2018-11-15,76.67,78.19
2018-11-16,78.37,78.96
2018-11-19,78.46,79.22
2018-11-20,78.42,76.97
2018-11-21,77.43,77.56
2018-11-23,76.05,75.49
2018-11-26,76.24,76.98
2018-11-27,76.57,77.05
2018-11-28,77.04,78.45
2018-11-29,78.22,79.06
2018-11-30,78.45,79.5
2018-12-03,80.24,81.22
2018-12-04,81.38,79.43
2018-12-06,78.0,78.39
2018-12-07,79.39,77.64
2018-12-10,77.86,76.54
2018-12-11,77.7,76.68
2018-12-12,78.04,76.02
2018-12-13,76.03,76.98
2018-12-14,76.72,75.58
2018-12-17,75.26,74.04
2018-12-18,73.63,72.0
2018-12-19,72.45,70.78
2018-12-20,70.09,68.63
2018-12-21,68.14,68.12
2018-12-24,66.87,65.51
2018-12-26,66.18,68.64
2018-12-27,67.74,68.94
2018-12-28,69.18,68.17
2018-12-31,68.32,68.19
2019-01-02,67.35,69.69
2019-01-03,70.0,68.62
2019-01-04,69.64,71.15
2019-01-07,71.25,71.52
2019-01-08,72.54,72.04
2019-01-09,72.6,72.42
2019-01-10,72.07,72.05
2019-01-11,71.85,71.72
2019-01-14,71.21,71.63
2019-01-15,71.95,71.67
2019-01-16,71.42,71.64
2019-01-17,71.19,72.13
2019-01-18,73.27,72.99
2019-01-22,72.39,71.89
2019-01-23,72.01,71.3
2019-01-24,71.1,71.4
2019-01-25,72.07,71.72
2019-01-28,71.02,71.24
2019-01-29,71.7,71.51
2019-01-30,71.77,72.29
2019-01-31,72.29,73.28
2019-02-01,74.92,75.92
2019-02-04,75.76,74.82
2019-02-05,75.18,75.59
2019-02-06,75.58,75.26
2019-02-07,74.95,74.68
2019-02-08,73.76,73.98
2019-02-11,73.88,74.1
2019-02-12,75.08,75.4
2019-02-13,75.58,76.25
2019-02-14,76.26,76.27
2019-02-15,76.94,77.71
2019-02-19,77.56,78.23
2019-02-20,78.3,78.53
2019-02-21,78.21,77.82
2019-02-22,78.71,78.42
2019-02-25,78.43,78.5
2019-02-26,78.68,78.66
2019-02-27,78.88,79.47
2019-02-28,79.45,79.03
2019-03-01,79.38,80.0
2019-03-04,80.24,80.31
2019-03-05,80.12,80.19
2019-03-06,78.85,79.28
2019-03-07,79.55,80.16
2019-03-08,78.89,79.01
2019-03-11,79.98,79.78
2019-03-12,80.11,80.0
2019-03-13,80.59,80.71
2019-03-14,80.8,80.44
2019-03-15,80.18,80.15
2019-03-18,80.44,81.08
2019-03-19,81.58,80.87
2019-03-20,80.75,81.32
2019-03-21,80.81,81.79
2019-03-22,81.23,80.48
2019-03-25,80.0,79.92
2019-03-26,80.33,80.96
2019-03-27,80.97,80.34
2019-03-28,80.03,80.74
